cat_code,cat_name
PRTX,Property Tax
PRTX_RES,Residential
PRTX_RES_RES,Residential Buildings
PRTX_RES_MULT,Multi-Unit Residential
PRTX_OTH,Other Groups
PRTX_OTH_FARM,Farmland
PRTX_OTH_FOR,Managed Forests
PRTX_OTH_PIP,Pipelines
PRTX_OTH_OTH,Other Property Classes
PRTX_COM,Commercial
PRTX_COM_COM,Commercial Buildings
PRTX_COM_NEW,Commercial New Construction
PRTX_COM_LOT,Parking Lot
PRTX_COM_OFF,Office Building
PRTX_COM_NOF,Office Building New Construction
PRTX_COM_SHP,Shopping Centre
PRTX_COM_NSH,Shopping Centre: New Construction
PRTX_IND,Industrial
PRTX_IND_IND,Industrial Buildings
PRTX_IND_NEW,Industrial New Construction
PRTX_IND_LRG,Large Industrial
PRTX_IND_NLG,Large Industrial New Construction
PRTX_OTH_ADJ,Adjustment for shared PIL Properties
PRTX_OTH_SUP,Supplementary Taxes 
PRTX_OTH_ADD,Amounts Added to Tax Bill
PRTX_OTH_OTA,Other Taxation Amounts
PIL,Payments-In-Lieu of Taxation
PIL_RES,Residential
PIL_RES_RES,Residential Buildings
PIL_RES_MULT,Multi-Residential
PIL_OTH,Other Groups
PIL_OTH_FARM,Farmland
PIL_OTH_FOR,Managed Forests
PIL_COM,Commercial
PIL_COM_COM,Commercial Buildings
PIL_COM_NEW,Commercial New Construction
PIL_COM_LOT,Parking Lot
PIL_COM_OFF,Office Building
PIL_COM_NOF,Office Building New Construction
PIL_COM_SHP,Shopping Centre
PIL_COM_NSH,Shopping Centre New Construction
PIL_IND,Industrial
PIL_IND_IND,Industrial Buildings
PIL_IND_NEW,Industrial New Construction
PIL_IND_LRG,Large Industrial
PIL_IND_NLG,Large Industrial New Construction
PIL_OTH_PIP,Pipelines
PIL_OTH_OTH,Other Property Classes
PIL_OTH_SUP,Suplementary PILS
PIL_OTH_ADD,Amounts Added to PILs
PIL_OTH_OPA,Other PIL Amouts
OMPF,Ontario Muncipal Partnership Fund
CNDGT,Conditional Grants
CNDGT_GGV,General Government
CNDGT_PTS,Protection Services
CNDGT_PTS_FIR,Fire
CNDGT_PTS_POL,Police
CNDGT_PTS_CSC,Court Security
CNDGT_PTS_PTP,Prisoner Transportation
CNDGT_PTS_CSV,Consertation Authority
CNDGT_PTS_PIC,Protective inspection and Control
CNDGT_PTS_BPI,Building Permit and Inspection Services
CNDGT_PTS_EMS,Emergency Measures
CNDGT_PTS_POA,Provincial Offences Act (POA)
CNDGT_PTS_OTH,Other
CNDGT_TPS,Transporation Services
CNDGT_TPS_RDS,Roads
CNDGT_TPS_RDS_PAV,Roads - Paved
CNDGT_TPS_RDS_UNP,Roads - Unpaved
CNDGT_TPS_RDS_BRG,Roads - Bridges and Culverts
CNDGT_TPS_RDS_OPS,Roads - Traffic Operations & Roadside
CNDGT_TPS_WIN,Winter Control
CNDGT_TPS_WIN_GEN,"Winter Control - Except sidewalks, Parking Lots"
CNDGT_TPS_WIN_PKG,"Winter control - Sidewalks, parking lots only"
CNDGT_TPS_TRA,Transit
CNDGT_TPS_TRA_CNV,Transit - Conventional
CNDGT_TPS_TRA_DIS,Transit - Disabled & Special Needs
CNDGT_TPS_OTH,Other
CNDGT_TPS_OTH_PKG,Parking
CNDGT_TPS_OTH_LGT,Street Lighting
CNDGT_TPS_OTH_AIR,Air Transportation
CNDGT_TPS_OTH_OTH,Other
CNDGT_ENV,Environmental services
CNDGT_ENV_SEW,Wastewater/Sewage
CNDGT_ENV_SEW_WWC,Wastewater collection/conveyance
CNDGT_ENV_SEW_WWT,Wastewater treatment & disposal
CNDGT_ENV_SEW_USS,Urban storm sewer system
CNDGT_ENV_SEW_RSS,Rural storm sewer system
CNDGT_ENV_WAT,Water Services
CNDGT_ENV_WAT_TRT,Water Treatment
CNDGT_ENV_WAT_DIS,Water distribution/transmission
CNDGT_ENV_WST,Waste services
CNDGT_ENV_WST_COL,Solid waste collection
CNDGT_ENV_WST_DIS,Solid waste disposal
CNDGT_ENV_WST_DIV,Waste diversion
CNDGT_ENV_OTH,Other
CNDGT_HTH,Health Services
CNDGT_HTH_PUB,Public Health Services
CNDGT_HTH_HSP,Hospitals
