parent_code,child_code
REV,PRTX
PRTX,PRTX_RES
PRTX_RES,PRTX_RES_RES
PRTX_RES_RES,slc.261.10.04
PRTX_RES_RES,slc.261.10.05
PRTX_RES,PRTX_RES_MULT
PRTX_RES_MULT,slc.261.50.04
PRTX_RES_MULT,slc.261.50.05
PRTX,PRTX_OTH
PRTX_OTH,PRTX_OTH_FARM
PRTX_OTH_FARM,slc.261.110.04
PRTX_OTH_FARM,slc.261.110.05
PRTX_OTH,PRTX_OTH_FOR
PRTX_OTH_FOR,slc.261.140.04
PRTX_OTH_FOR,slc.261.140.05
PRTX_OTH,PRTX_OTH_PIP
PRTX_OTH_PIP,slc.261.710.03
PRTX_OTH_PIP,slc.261.710.04
PRTX_OTH,PRTX_OTH_OTH
PRTX_OTH_OTH,slc.261.810.04
PRTX_OTH_OTH,slc.261.810.05
PRTX,PRTX_COM
PRTX_COM,PRTX_COM_COM
PRTX_COM_COM,slc.261.210.04
PRTX_COM_COM,slc.261.210.05
PRTX_COM,PRTX_COM_NEW
PRTX_COM_NEW,slc.261.215.04
PRTX_COM_NEW,slc.261.215.05
PRTX_COM,PRTX_COM_LOT
PRTX_COM_LOT,slc.261.310.04
PRTX_COM_LOT,slc.261.310.05
PRTX_COM,PRTX_COM_OFF
PRTX_COM_OFF,slc.261.320.04
PRTX_COM_OFF,slc.261.320.05
PRTX_COM,PRTX_COM_NOF
PRTX_COM_NOF,slc.261.325.04
PRTX_COM_NOF,slc.261.325.05
PRTX_COM,PRTX_COM_SHP
PRTX_COM_SHP,slc.261.340.04
PRTX_COM_SHP,slc.261.340.05
PRTX_COM,PRTX_COM_NSH
PRTX_COM_NSH,slc.261.345.04
PRTX_COM_NSH,slc.261.345.05
PRTX,PRTX_IND
PRTX_IND,PRTX_IND_IND
PRTX_IND_IND,slc.261.510.04
PRTX_IND_IND,slc.261.510.05
PRTX_IND,PRTX_IND_NEW
PRTX_IND_NEW,slc.261.515.04
PRTX_IND_NEW,slc.261.515.05
PRTX_IND,PRTX_IND_LRG
PRTX_IND_LRG,slc.261.610.04
PRTX_IND_LRG,slc.261.610.05
PRTX_IND,PRTX_IND_NLG
PRTX_IND_NLG,slc.261.615.04
PRTX_IND_NLG,slc.261.615.05
PRTX_OTH,PRTX_OTH_ADJ
PRTX_OTH_ADJ,slc.261.9160.04
PRTX_OTH_ADJ,slc.261.9160.05
PRTX_OTH,PRTX_OTH_SUP
PRTX_OTH_SUP,slc.261.9170.04
PRTX_OTH_SUP,slc.261.9170.05
PRTX_OTH,PRTX_OTH_ADD
PRTX_OTH_ADD,slc.261.9190.04
PRTX_OTH_ADD,slc.261.9190.05
